GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Codec,org.apache.commons.codec.language,SoundexUtils,0,92,0,18,0,21,0,13,0,4
Commons Codec,org.apache.commons.codec.language,DoubleMetaphone,51,2465,42,396,9,464,40,235,0,45
Commons Codec,org.apache.commons.codec.language,Soundex,0,233,2,32,0,51,2,28,0,13
Commons Codec,org.apache.commons.codec.language,Caverphone,0,340,0,6,0,69,0,8,0,5
Commons Codec,org.apache.commons.codec.language,DoubleMetaphone.DoubleMetaphoneResult,0,151,0,12,0,39,0,18,0,12
Commons Codec,org.apache.commons.codec.language,RefinedSoundex,0,125,1,13,0,36,1,15,0,9
Commons Codec,org.apache.commons.codec.language,Metaphone,4,711,14,146,3,181,14,87,0,12
Commons Codec,org.apache.commons.codec.digest,DigestUtils,0,178,0,2,0,46,0,40,0,39
Commons Codec,org.apache.commons.codec.binary,StringUtils,0,93,0,4,0,24,0,18,0,16
Commons Codec,org.apache.commons.codec.binary,Base64OutputStream,0,160,1,21,0,45,1,18,0,8
Commons Codec,org.apache.commons.codec.binary,Base64InputStream,0,163,0,28,0,36,0,20,0,6
Commons Codec,org.apache.commons.codec.binary,BinaryCodec,0,335,0,50,0,59,0,38,0,13
Commons Codec,org.apache.commons.codec.binary,Base64,0,2318,5,153,0,257,5,115,0,40
Commons Codec,org.apache.commons.codec.binary,Hex,2,376,1,13,0,48,1,21,0,15
Commons Codec,org.apache.commons.codec,StringEncoderComparator,0,36,0,0,0,14,0,3,0,3
Commons Codec,org.apache.commons.codec,DecoderException,0,16,0,0,0,8,0,4,0,4
Commons Codec,org.apache.commons.codec,EncoderException,0,16,0,0,0,8,0,4,0,4
Commons Codec,org.apache.commons.codec,CharEncoding,0,3,0,0,0,1,0,1,0,1
Commons Codec,org.apache.commons.codec.net,Utils,0,24,0,2,0,5,0,3,0,2
Commons Codec,org.apache.commons.codec.net,BCodec,0,126,0,18,0,40,0,20,0,11
Commons Codec,org.apache.commons.codec.net,QuotedPrintableCodec,0,306,0,40,0,83,0,35,0,15
Commons Codec,org.apache.commons.codec.net,QCodec,0,336,0,40,0,101,0,34,0,14
Commons Codec,org.apache.commons.codec.net,URLCodec,0,338,0,46,0,89,0,38,0,15
Commons Codec,org.apache.commons.codec.net,RFC1522Codec,0,166,0,16,0,38,0,11,0,3
,,,57,9107,66,1056,,,,,,
,,,,,,,,,,,,
,Code Coverage,,0.993780009,,,,,,,,,
,BranchCoverage,,0.941176471,,,,,,,,,
