GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Codec,org.apache.commons.codec.language,SoundexUtils,0,92,0,18,0,21,0,13,0,4
Commons Codec,org.apache.commons.codec.language,DoubleMetaphone,49,2466,41,397,15,458,39,236,0,45
Commons Codec,org.apache.commons.codec.language,Soundex,11,222,3,31,1,50,3,27,0,13
Commons Codec,org.apache.commons.codec.language,Caverphone,0,38,0,2,0,9,0,6,0,5
Commons Codec,org.apache.commons.codec.language,ColognePhonetic,11,564,5,83,3,86,5,47,0,8
Commons Codec,org.apache.commons.codec.language,AbstractCaverphone,0,24,0,2,0,6,0,4,0,3
Commons Codec,org.apache.commons.codec.language,Caverphone2,0,316,0,4,0,64,0,4,0,2
Commons Codec,org.apache.commons.codec.language,DoubleMetaphone.DoubleMetaphoneResult,0,151,0,12,0,39,0,18,0,12
Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneInputBuffer,19,45,0,0,3,11,1,5,1,5
Commons Codec,org.apache.commons.codec.language,Caverphone1,0,301,0,4,0,61,0,4,0,2
Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneBuffer,0,44,0,0,0,11,0,4,0,4
Commons Codec,org.apache.commons.codec.language,RefinedSoundex,0,125,1,13,0,36,1,15,0,9
Commons Codec,org.apache.commons.codec.language,Metaphone,4,711,14,146,3,181,14,87,0,12
Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneOutputBuffer,0,33,0,0,0,9,0,3,0,3
Commons Codec,org.apache.commons.codec.digest,DigestUtils,0,178,0,2,0,46,0,40,0,39
Commons Codec,org.apache.commons.codec.binary,BaseNCodecOutputStream,0,135,1,21,0,39,1,16,0,6
Commons Codec,org.apache.commons.codec.binary,Base32OutputStream,0,24,0,0,0,6,0,3,0,3
Commons Codec,org.apache.commons.codec.binary,StringUtils,0,93,0,4,0,24,0,18,0,16
Commons Codec,org.apache.commons.codec.binary,Base64OutputStream,0,24,0,0,0,6,0,3,0,3
Commons Codec,org.apache.commons.codec.binary,BaseNCodecInputStream,7,126,1,25,1,30,1,16,0,4
Commons Codec,org.apache.commons.codec.binary,Base32,109,2267,11,59,10,166,11,37,0,9
Commons Codec,org.apache.commons.codec.binary,Base64InputStream,0,24,0,0,0,6,0,3,0,3
Commons Codec,org.apache.commons.codec.binary,BinaryCodec,0,335,0,50,0,59,0,38,0,13
Commons Codec,org.apache.commons.codec.binary,BaseNCodec,1,380,2,54,0,83,2,46,0,20
Commons Codec,org.apache.commons.codec.binary,Base64,3,1907,5,95,1,169,6,72,1,26
Commons Codec,org.apache.commons.codec.binary,Base32InputStream,0,24,0,0,0,6,0,3,0,3
Commons Codec,org.apache.commons.codec.binary,Hex,2,376,1,13,0,48,1,21,0,15
Commons Codec,org.apache.commons.codec,StringEncoderComparator,0,36,0,0,0,13,0,3,0,3
Commons Codec,org.apache.commons.codec,DecoderException,0,16,0,0,0,8,0,4,0,4
Commons Codec,org.apache.commons.codec,EncoderException,0,16,0,0,0,8,0,4,0,4
Commons Codec,org.apache.commons.codec,CharEncoding,0,3,0,0,0,1,0,1,0,1
Commons Codec,org.apache.commons.codec.net,Utils,0,24,0,2,0,5,0,3,0,2
Commons Codec,org.apache.commons.codec.net,BCodec,0,126,0,18,0,40,0,20,0,11
Commons Codec,org.apache.commons.codec.net,QuotedPrintableCodec,0,306,0,40,0,83,0,35,0,15
Commons Codec,org.apache.commons.codec.net,QCodec,0,336,0,40,0,101,0,34,0,14
Commons Codec,org.apache.commons.codec.net,URLCodec,0,336,0,46,0,88,0,38,0,15
Commons Codec,org.apache.commons.codec.net,RFC1522Codec,0,166,0,16,0,38,0,11,0,3
,,,216,12390,85,1197,,,,,,
,,statement,0.982865302,,,,,,,,,
,,branch,0.933697348,,,,,,,,,
